id,Date,Time,latitude,longitude
1,7/8/2021,22,-6.111086556,106.7079325
2,8/30/2021,18,-6.110978554,106.7011878
3,1/29/2021,8,-6.114256085,106.6999608
4,7/15/2021,19,-6.120111755,106.7023764
5,5/15/2021,15,-6.114745357,106.6985924
6,7/24/2021,16,-6.1099012,106.7027646
7,9/19/2021,4,-6.115115764,106.7015628
8,11/12/2021,13,-6.118807622,106.6981139
9,7/27/2021,2,-6.110421607,106.7083218
10,10/4/2021,10,-6.117175049,106.7073041
11,4/5/2021,18,-6.121315016,106.6977641
12,12/17/2021,8,-6.122292223,106.7009311
13,9/12/2021,10,-6.116551685,106.7005048
14,11/17/2021,11,-6.11911051,106.6978722
15,1/2/2021,15,-6.112120054,106.6992046
16,1/24/2021,8,-6.113207696,106.6955228
17,7/15/2021,18,-6.11459717,106.7081735
18,2/23/2021,9,-6.108753476,106.6972637
19,3/20/2021,21,-6.120510569,106.7035619
20,9/30/2021,3,-6.111909667,106.6956728
21,7/23/2021,8,-6.108578526,106.7066518
22,1/16/2021,21,-6.117756303,106.6945492
23,5/5/2021,8,-6.118498122,106.6947812
24,7/9/2021,9,-6.107850971,106.7024223
25,10/18/2021,11,-6.116790537,106.7065518
26,4/19/2021,23,-6.120741156,106.7079144
27,3/3/2021,20,-6.12156175,106.6963015
28,1/13/2021,20,-6.110398572,106.7078051
29,5/21/2021,21,-6.121750894,106.6967725
30,4/7/2021,15,-6.111375537,106.7011966
31,4/18/2021,2,-6.120677083,106.6983862
32,3/10/2021,20,-6.111131169,106.7048154
33,12/17/2021,21,-6.121569285,106.7025108
34,1/31/2021,18,-6.116065894,106.705895
35,5/7/2021,14,-6.120226443,106.7038435
36,9/5/2021,18,-6.113829378,106.695337
37,2/9/2021,6,-6.108005104,106.6983045
38,3/25/2021,11,-6.116613522,106.6994661
39,1/5/2021,1,-6.115930265,106.6996243
40,4/22/2021,14,-6.11228034,106.6992871
41,1/10/2021,19,-6.107662214,106.6944219
42,2/18/2021,9,-6.122655552,106.7032309
43,6/1/2021,21,-6.1100117,106.7053642
44,10/16/2021,15,-6.110647431,106.7038278
45,1/4/2021,11,-6.117857723,106.6958432
46,9/6/2021,6,-6.113230948,106.695562
47,10/15/2021,13,-6.11869349,106.6943455
48,1/25/2021,9,-6.118582806,106.6944818
49,5/2/2021,14,-6.109504272,106.6944721
50,7/12/2021,9,-6.109452523,106.7077206
51,6/22/2021,1,-6.159174876,106.6733873
52,7/7/2021,23,-6.159647832,106.6696437
53,1/29/2021,12,-6.159543432,106.6716164
54,7/24/2021,21,-6.159627697,106.6769375
55,9/23/2021,16,-6.159384341,106.6740784
56,2/19/2021,18,-6.15965746,106.6773091
57,6/4/2021,4,-6.159193409,106.6722821
58,4/26/2021,16,-6.159502201,106.674086
59,1/16/2021,10,-6.159443044,106.6693894
60,10/4/2021,6,-6.159242938,106.6702536
61,8/27/2021,15,-6.159648223,106.6713403
62,3/20/2021,2,-6.159575484,106.6710761
63,5/30/2021,19,-6.159266843,106.673758
64,7/27/2021,6,-6.159488019,106.66869
65,6/5/2021,22,-6.159173445,106.674417
66,12/21/2021,0,-6.159674738,106.6692132
67,6/16/2021,9,-6.159561807,106.6767299
68,3/27/2021,21,-6.159421636,106.6761892
69,1/22/2021,18,-6.159507781,106.6738657
70,7/10/2021,2,-6.159737104,106.6779138
71,10/25/2021,6,-6.159501933,106.6752543
72,4/14/2021,3,-6.159217713,106.6741365
73,8/7/2021,20,-6.159443052,106.6751717
74,5/22/2021,20,-6.159370945,106.6679846
75,4/2/2021,10,-6.159480775,106.6690087
76,11/18/2021,22,-6.159157861,106.6774633
77,12/24/2021,1,-6.159168974,106.6771107
78,2/15/2021,5,-6.159497979,106.6740783
79,7/2/2021,15,-6.159195561,106.6755902
80,7/1/2021,16,-6.159441222,106.670827
81,3/18/2021,1,-6.159733801,106.6766819
82,8/18/2021,3,-6.159502852,106.6744375
83,1/25/2021,6,-6.159131186,106.6684105
84,3/17/2021,10,-6.159756817,106.6774362
85,9/20/2021,23,-6.159757243,106.6684198
86,8/13/2021,0,-6.159602655,106.6684473
87,4/14/2021,10,-6.159676652,106.6729798
88,5/29/2021,18,-6.159549849,106.6732257
89,2/3/2021,23,-6.15953873,106.669855
