id,date,time,latitude,longitude,districts,subdistrict,type
1,7/8/2021,22,-6.169094195,106.875481,Jakarta_Pusat,Cempaka_Putih,Harassment
2,8/30/2021,18,-6.169096601,106.8753707,Jakarta_Pusat,Cempaka_Putih,Attempt
3,1/29/2021,8,-6.169124164,106.8756617,Jakarta_Pusat,Cempaka_Putih,Statutory Rape
4,7/15/2021,19,-6.169100894,106.8749887,Jakarta_Pusat,Cempaka_Putih,Assault / Battery
5,5/15/2021,15,-6.169095995,106.8747677,Jakarta_Pusat,Cempaka_Putih,Child Pornography
6,7/24/2021,16,-6.169123916,106.8750985,Jakarta_Pusat,Cempaka_Putih,Stalking
7,9/19/2021,4,-6.169117202,106.8758604,Jakarta_Pusat,Cempaka_Putih,Theft
8,11/12/2021,13,-6.169089623,106.8749155,Jakarta_Pusat,Cempaka_Putih,Assault / Battery
9,7/27/2021,2,-6.169107187,106.8759206,Jakarta_Pusat,Cempaka_Putih,Statutory Rape
10,10/4/2021,10,-6.16909394,106.8757427,Jakarta_Pusat,Cempaka_Putih,Kidnapping
11,4/5/2021,18,-6.169123882,106.8750545,Jakarta_Pusat,Cempaka_Putih,Assault / Battery
12,12/17/2021,8,-6.169102979,106.8757882,Jakarta_Pusat,Cempaka_Putih,Manslaughter: Voluntary
13,9/12/2021,10,-6.178333769,106.8745836,Jakarta_Pusat,Cempaka_Putih,Public Intoxication
14,11/17/2021,11,-6.178432345,106.8743658,Jakarta_Pusat,Cempaka_Putih,Attempt
15,1/2/2021,15,-6.178279814,106.8745514,Jakarta_Pusat,Cempaka_Putih,Statutory Rape
16,1/24/2021,8,-6.178304654,106.8745445,Jakarta_Pusat,Cempaka_Putih,Aggravated Assault
17,7/15/2021,18,-6.177779854,106.8744137,Jakarta_Pusat,Cempaka_Putih,Aggravated Assault
18,2/23/2021,9,-6.178188446,106.8744455,Jakarta_Pusat,Cempaka_Putih,Statutory Rape
19,3/20/2021,21,-6.178352147,106.8745142,Jakarta_Pusat,Cempaka_Putih,Robbery
20,9/30/2021,3,-6.178093453,106.8744274,Jakarta_Pusat,Cempaka_Putih,Embezzlement
21,7/23/2021,8,-6.177799373,106.8744433,Jakarta_Pusat,Cempaka_Putih,Manslaughter: Voluntary
22,1/16/2021,21,-6.177765934,106.8745657,Jakarta_Pusat,Cempaka_Putih,Kidnapping
23,5/5/2021,8,-6.183531517,106.8681953,Jakarta_Pusat,Cempaka_Putih,Rape
24,7/9/2021,9,-6.182918911,106.8676046,Jakarta_Pusat,Cempaka_Putih,Murder: Second-degree
25,10/18/2021,11,-6.18402355,106.8674777,Jakarta_Pusat,Cempaka_Putih,Statutory Rape
26,4/19/2021,23,-6.183100162,106.8673664,Jakarta_Pusat,Cempaka_Putih,Harassment
27,3/3/2021,20,-6.184275134,106.8673149,Jakarta_Pusat,Cempaka_Putih,Manslaughter: Voluntary
28,1/13/2021,20,-6.183939194,106.8675856,Jakarta_Pusat,Cempaka_Putih,Stalking
29,5/21/2021,21,-6.183906129,106.8674813,Jakarta_Pusat,Cempaka_Putih,Assault / Battery
30,4/7/2021,15,-6.183710554,106.8681289,Jakarta_Pusat,Cempaka_Putih,Aggravated Assault
31,4/18/2021,2,-6.1843137,106.8675498,Jakarta_Pusat,Cempaka_Putih,Sexual Assault
32,3/10/2021,20,-6.183204343,106.8676692,Jakarta_Pusat,Cempaka_Putih,Aiding and Abetting / Accessory
33,12/17/2021,21,-6.184374402,106.867416,Jakarta_Pusat,Cempaka_Putih,Manslaughter: Voluntary
34,1/31/2021,18,-6.18714948,106.8686771,Jakarta_Pusat,Cempaka_Putih,Arson
35,5/7/2021,14,-6.187273144,106.8690872,Jakarta_Pusat,Cempaka_Putih,Stalking
36,9/5/2021,18,-6.187141857,106.8692601,Jakarta_Pusat,Cempaka_Putih,Robbery
37,2/9/2021,6,-6.187016904,106.8691308,Jakarta_Pusat,Cempaka_Putih,Sexual Assault
38,3/25/2021,11,-6.187133366,106.8694233,Jakarta_Pusat,Cempaka_Putih,Harassment
39,1/5/2021,1,-6.187300356,106.8692291,Jakarta_Pusat,Cempaka_Putih,Drug Manufacturing and Cultivation
40,4/22/2021,14,-6.187251523,106.8694076,Jakarta_Pusat,Cempaka_Putih,Manslaughter: Voluntary
41,1/10/2021,19,-6.187275085,106.8686895,Jakarta_Pusat,Cempaka_Putih,Kidnapping
42,2/18/2021,9,-6.187019008,106.8692982,Jakarta_Pusat,Cempaka_Putih,Homicide
43,6/1/2021,21,-6.187165089,106.8692879,Jakarta_Pusat,Cempaka_Putih,Manslaughter: Involuntary
44,10/16/2021,15,-6.187019004,106.8689309,Jakarta_Pusat,Cempaka_Putih,Open Container (of alcohol)
45,1/4/2021,11,-6.18191624,106.8681663,Jakarta_Pusat,Cempaka_Putih,Statutory Rape
46,9/6/2021,6,-6.181933781,106.8661604,Jakarta_Pusat,Cempaka_Putih,Vandalism
47,10/15/2021,13,-6.181902584,106.8679866,Jakarta_Pusat,Cempaka_Putih,Telemarketing Fraud
48,1/25/2021,9,-6.181923927,106.866159,Jakarta_Pusat,Cempaka_Putih,Sexual Assault
49,5/2/2021,14,-6.181896645,106.8672074,Jakarta_Pusat,Cempaka_Putih,Statutory Rape
50,7/12/2021,9,-6.181899537,106.8678605,Jakarta_Pusat,Cempaka_Putih,Prostitution
51,6/22/2021,1,-6.181922751,106.8659242,Jakarta_Pusat,Cempaka_Putih,Manslaughter: Voluntary
52,7/7/2021,23,-6.181931849,106.8671191,Jakarta_Pusat,Cempaka_Putih,Rape
53,1/29/2021,12,-6.181902588,106.8650242,Jakarta_Pusat,Cempaka_Putih,Medical Marijuana
54,7/24/2021,21,-6.181927851,106.8677569,Jakarta_Pusat,Cempaka_Putih,Theft
55,9/23/2021,16,-6.181917317,106.8654288,Jakarta_Pusat,Cempaka_Putih,Robbery
56,2/19/2021,18,-6.160919714,106.801285,Jakarta_Pusat,Gambir,Statutory Rape
57,6/4/2021,4,-6.160920345,106.8012704,Jakarta_Pusat,Gambir,Homicide
58,4/26/2021,16,-6.160874672,106.8012564,Jakarta_Pusat,Gambir,Robbery
59,1/16/2021,10,-6.160846555,106.8012651,Jakarta_Pusat,Gambir,Robbery
60,10/4/2021,6,-6.16084764,106.8012754,Jakarta_Pusat,Gambir,Arson
61,8/27/2021,15,-6.160826361,106.8012812,Jakarta_Pusat,Gambir,Homicide
62,3/20/2021,2,-6.160831834,106.8012823,Jakarta_Pusat,Gambir,Attempt
63,5/30/2021,19,-6.160900685,106.8012779,Jakarta_Pusat,Gambir,Attempt
64,7/27/2021,6,-6.160807001,106.8012461,Jakarta_Pusat,Gambir,Aggravated Assault
65,6/5/2021,22,-6.160817324,106.8012491,Jakarta_Pusat,Gambir,Aiding and Abetting / Accessory
66,12/21/2021,0,-6.160827053,106.8012801,Jakarta_Pusat,Gambir,Bribery
67,6/16/2021,9,-6.165646233,106.8106448,Jakarta_Pusat,Gambir,Sexual Assault
68,3/27/2021,21,-6.165651121,106.8110462,Jakarta_Pusat,Gambir,Stalking
69,1/22/2021,18,-6.165626026,106.8107064,Jakarta_Pusat,Gambir,Rape
70,7/10/2021,2,-6.165622498,106.8107156,Jakarta_Pusat,Gambir,Murder: Second-degree
71,10/25/2021,6,-6.165637833,106.8106166,Jakarta_Pusat,Gambir,Robbery
72,4/14/2021,3,-6.165652903,106.8108122,Jakarta_Pusat,Gambir,Open Container (of alcohol)
73,8/7/2021,20,-6.165630778,106.8108793,Jakarta_Pusat,Gambir,Robbery
74,5/22/2021,20,-6.165635653,106.8107426,Jakarta_Pusat,Gambir,Aggravated Assault
75,4/2/2021,10,-6.165623084,106.810613,Jakarta_Pusat,Gambir,Theft
76,11/18/2021,22,-6.16564861,106.8107581,Jakarta_Pusat,Gambir,Manslaughter: Involuntary
