id,date,time,latitude,longitude,districts,subdistrict,type
1,4/15/2021,22,-6.127295619,106.7254257,Jakarta_Barat,Cengkareng,Fraud
2,6/3/2021,12,-6.127044142,106.7254873,Jakarta_Barat,Cengkareng,Fraud
3,6/6/2021,4,-6.12647593,106.7254679,Jakarta_Barat,Cengkareng,Ordinary Theft
4,12/14/2021,6,-6.127246282,106.7254339,Jakarta_Barat,Cengkareng,Drugs
5,4/5/2021,13,-6.127048087,106.7256987,Jakarta_Barat,Cengkareng,Weighted Theft
6,11/13/2021,9,-6.126335609,106.725624,Jakarta_Barat,Cengkareng,Fraud
7,5/1/2021,2,-6.127480028,106.7254707,Jakarta_Barat,Cengkareng,Drugs
8,6/17/2021,23,-6.127546993,106.7255116,Jakarta_Barat,Cengkareng,Violent Theft
9,2/6/2021,22,-6.126710202,106.7256264,Jakarta_Barat,Cengkareng,Drugs
10,6/4/2021,2,-6.127686744,106.7254343,Jakarta_Barat,Cengkareng,Ordinary Theft
11,4/5/2021,0,-6.147154753,106.7619776,Jakarta_Barat,Cengkareng,Vehicle Theft
12,12/18/2021,11,-6.146548067,106.7619858,Jakarta_Barat,Cengkareng,Fraud
13,8/22/2021,12,-6.145534965,106.7636367,Jakarta_Barat,Cengkareng,Drugs
14,8/3/2021,1,-6.143777766,106.7620924,Jakarta_Barat,Cengkareng,Drugs
15,8/21/2021,15,-6.146249694,106.7633878,Jakarta_Barat,Cengkareng,Drugs
16,8/24/2021,17,-6.143953696,106.7628075,Jakarta_Barat,Cengkareng,Severe Persecution
17,2/5/2021,6,-6.145769381,106.7640658,Jakarta_Barat,Cengkareng,Fraud
18,8/31/2021,22,-6.145657844,106.7623532,Jakarta_Barat,Cengkareng,Weighted Theft
19,6/6/2021,3,-6.154636979,106.7234446,Jakarta_Barat,Cengkareng,Drugs
20,7/29/2021,23,-6.15538554,106.7232272,Jakarta_Barat,Cengkareng,Drugs
21,6/15/2021,8,-6.154477669,106.7222267,Jakarta_Barat,Cengkareng,Destruction
22,3/4/2021,14,-6.154599479,106.7237779,Jakarta_Barat,Cengkareng,Drugs
23,6/12/2021,15,-6.155437238,106.7238465,Jakarta_Barat,Cengkareng,Weighted Theft
24,8/27/2021,20,-6.153809569,106.7226263,Jakarta_Barat,Cengkareng,Drugs
25,8/25/2021,14,-6.155574341,106.7235561,Jakarta_Barat,Cengkareng,Accidental Burning
26,6/15/2021,20,-6.154507311,106.7225585,Jakarta_Barat,Cengkareng,Ordinary Theft
27,4/22/2021,0,-6.153215012,106.7230444,Jakarta_Barat,Cengkareng,Fraud
28,2/22/2021,15,-6.154547769,106.7225235,Jakarta_Barat,Cengkareng,Drugs
29,12/25/2021,6,-6.156185563,106.7232506,Jakarta_Barat,Cengkareng,Ordinary Theft
30,7/7/2021,16,-6.153626027,106.7235687,Jakarta_Barat,Cengkareng,Fraud
31,7/30/2021,3,-6.155546621,106.7222288,Jakarta_Barat,Cengkareng,Severe Persecution
32,5/2/2021,21,-6.154168099,106.7236362,Jakarta_Barat,Cengkareng,Vehicle Theft
33,12/23/2021,0,-6.156310945,106.7230246,Jakarta_Barat,Cengkareng,Drugs
34,3/13/2021,16,-6.155497938,106.7224287,Jakarta_Barat,Cengkareng,Drugs
35,10/15/2021,10,-6.154384209,106.7230389,Jakarta_Barat,Cengkareng,Drugs
36,4/11/2021,7,-6.156525988,106.7237144,Jakarta_Barat,Cengkareng,Vehicle Theft
37,6/2/2021,19,-6.155057437,106.7240566,Jakarta_Barat,Cengkareng,Fraud
38,9/10/2021,17,-6.154814263,106.7222518,Jakarta_Barat,Cengkareng,Ordinary Theft
39,4/13/2021,14,-6.153437815,106.7223257,Jakarta_Barat,Cengkareng,Fraud
40,5/14/2021,3,-6.153166663,106.7227193,Jakarta_Barat,Cengkareng,Fraud
